libcrypt-dev	1:4.4.38-1	install ok installed
libctf0	2.44-3	install ok installed
libctf-nobfd0	2.44-3	install ok installed
libcups2t64	2.4.10-3+deb13u2	install ok installed
libcurl3t64-gnutls	8.14.1-2+deb13u4	install ok installed
libcurl4-openssl-dev	8.14.1-2+deb13u4	install ok installed
libcurl4t64	8.14.1-2+deb13u4	install ok installed
libcwiid1t64	0.6.91-11	install ok installed
libcwiid-dev	0.6.91-11	install ok installed
libdate-tz3	3.0.3+ds-2	install ok installed
libdatrie1	0.2.13-3+b1	install ok installed
libdav1d7	1.5.1-1	install ok installed
libdav1d-dev	1.5.1-1	install ok installed
libdb5.3t64	5.3.28+dfsg2-9	install ok installed
libdbus-1-3	1.16.2-2	install ok installed
libdbus-1-dev	1.16.2-2	install ok installed
libdconf1	0.40.0-5	install ok installed
libdebconfclient0	0.280	install ok installed
libdebhelper-perl	13.24.2	install ok installed
libdecor-0-0	0.2.2-2	install ok installed
libdeflate0	1.23-2	install ok installed
libdevmapper1.02.1	2:1.02.205-2	install ok installed
libdialog15	1.3-20250116-1	install ok installed
libdisplay-info2	0.2.0-2	install ok installed
libdisplay-info-dev	0.2.0-2	install ok installed
libdpkg-perl	1.22.22	install ok installed
libdrm2	2.4.124-2	install ok installed
libdrm-amdgpu1	2.4.124-2	install ok installed
libdrm-common	2.4.124-2	install ok installed
libdrm-dev	2.4.124-2	install ok installed
libdrm-etnaviv1	2.4.124-2	install ok installed
libdrm-freedreno1	2.4.124-2	install ok installed
libdrm-nouveau2	2.4.124-2	install ok installed
libdrm-radeon1	2.4.124-2	install ok installed
libdrm-tegra0	2.4.124-2	install ok installed
libdrm-tests	2.4.124-2	install ok installed
libdvdnav4	6.1.1-3+b1	install ok installed
libdvdread8t64	6.1.3-2	install ok installed
libdw1t64	0.192-4	install ok installed
libebur128-1	1.2.6-1+b2	install ok installed
libedit2	3.1-20250104-1	install ok installed
libegl1	1.7.0-1+b2	install ok installed
libegl1-mesa-dev	25.0.7-2+deb13u1	install ok installed
libegl-dev	1.7.0-1+b2	install ok installed
libegl-mesa0	25.0.7-2+deb13u1	install ok installed
libelf1t64	0.192-4	install ok installed
libelf-dev	0.192-4	install ok installed
libepoxy0	1.5.10-2	install ok installed
liberror-perl	0.17030-1	install ok installed
libestr0	0.1.11-2	install ok installed
libevdev2	1.13.4+dfsg-1	install ok installed
libevdev-dev	1.13.4+dfsg-1	install ok installed
libevent-2.1-7t64	2.1.12-stable-10+b1	install ok installed
libexpat1	2.8.3-1~deb13u1	install ok installed
libexpat1-dev	2.8.3-1~deb13u1	install ok installed
libext2fs2t64	1.47.2-3+b11	install ok installed
libfastjson4	1.2304.0-2	install ok installed
libfdisk1	2.41.5-0+deb13u1	install ok installed
libfdt1	1.7.2-2+b1	install ok installed
libffi8	3.4.8-2	install ok installed
libffi-dev	3.4.8-2	install ok installed
libfftw3-double3	3.3.10-2+b1	install ok installed
libfftw3-single3	3.3.10-2+b1	install ok installed
libfido2-1	1.15.0-1+b1	install ok installed
libfile-fnmatch-perl	0.02-3+b4	install ok installed
libfile-stripnondeterminism-perl	1.14.1-2	install ok installed
libflac14	1.5.0+ds-2	install ok installed
libflatbuffers23.5.26	23.5.26+dfsg-4	install ok installed
libflatbuffers-dev	23.5.26+dfsg-4	install ok installed
libflite1	2.2-7	install ok installed
libfmt10	10.1.1+ds1-4	install ok installed
libfmt-dev	10.1.1+ds1-4	install ok installed
libfontconfig1	2.15.0-2.3	install ok installed
libfontconfig-dev	2.15.0-2.3	install ok installed
libfontforge4	1:20230101~dfsg-4+b1	install ok installed
libfreetype6	2.13.3+dfsg-1+deb13u1	install ok installed
libfreetype-dev	2.13.3+dfsg-1+deb13u1	install ok installed
libfribidi0	1.0.16-1	install ok installed
libfribidi-dev	1.0.16-1	install ok installed
libfstrcmp0	0.7.D001-5	install ok installed
libfstrcmp-dev	0.7.D001-5	install ok installed
libfuse3-4	3.17.2-3	install ok installed
libgbm1	25.0.7-2+deb13u1	install ok installed
libgbm-dev	25.0.7-2+deb13u1	install ok installed
libgcc-14-dev	14.2.0-19	install ok installed
libgcc-s1	14.2.0-19	install ok installed
libgcrypt20	1.11.0-7+deb13u1	install ok installed
libgcrypt20-dev	1.11.0-7+deb13u1	install ok installed
libgdbm6t64	1.24-2	install ok installed
libgdbm-compat4t64	1.24-2	install ok installed
libgdk-pixbuf-2.0-0	2.42.12+dfsg-4+deb13u1	install ok installed
libgdk-pixbuf2.0-common	2.42.12+dfsg-4+deb13u1	install ok installed
libgfortran5	14.2.0-19	install ok installed
libgif7	5.2.2-1+deb13u1	install ok installed
libgif-dev	5.2.2-1+deb13u1	install ok installed
libgio-2.0-dev	2.84.4-3~deb13u3	install ok installed
libgio-2.0-dev-bin	2.84.4-3~deb13u3	install ok installed
libgirepository-2.0-0	2.84.4-3~deb13u3	install ok installed
libgl1	1.7.0-1+b2	install ok installed
libgl1-mesa-dri	25.0.7-2+deb13u1	install ok installed
libgl-dev	1.7.0-1+b2	install ok installed
libgles1	1.7.0-1+b2	install ok installed
libgles2	1.7.0-1+b2	install ok installed
libgles-dev	1.7.0-1+b2	install ok installed
libglew2.2	2.2.0-4+b2	install ok installed
libglew-dev	2.2.0-4+b2	install ok installed
libglib2.0-0t64	2.84.4-3~deb13u3	install ok installed
libglib2.0-bin	2.84.4-3~deb13u3	install ok installed
libglib2.0-data	2.84.4-3~deb13u3	install ok installed
libglib2.0-dev	2.84.4-3~deb13u3	install ok installed
libglib2.0-dev-bin	2.84.4-3~deb13u3	install ok installed
libglu1-mesa	9.0.2-1.1+b3	install ok installed
libglu1-mesa-dev	9.0.2-1.1+b3	install ok installed
libglvnd0	1.7.0-1+b2	install ok installed
libglvnd-core-dev	1.7.0-1+b2	install ok installed
libglvnd-dev	1.7.0-1+b2	install ok installed
libglx0	1.7.0-1+b2	install ok installed
libglx-dev	1.7.0-1+b2	install ok installed
libglx-mesa0	25.0.7-2+deb13u1	install ok installed
libgme0	0.6.3-7+b2	install ok installed
libgmp10	2:6.3.0+dfsg-3	install ok installed
libgmp-dev	2:6.3.0+dfsg-3	install ok installed
libgmpxx4ldbl	2:6.3.0+dfsg-3	install ok installed
libgnutls28-dev	3.8.9-3+deb13u4	install ok installed
libgnutls30t64	3.8.9-3+deb13u4	install ok installed
libgnutls-dane0t64	3.8.9-3+deb13u4	install ok installed
libgnutls-openssl27t64	3.8.9-3+deb13u4	install ok installed
libgomp1	14.2.0-19	install ok installed
libgpg-error0	1.51-4	install ok installed
libgpg-error-dev	1.51-4	install ok installed
libgpiod3	2.2.1-2+deb13u1	install ok installed
libgpm2	1.20.7-11+b2	install ok installed
libgprofng0	2.44-3	install ok installed
libgraphite2-3	1.3.14-2+deb13u1	install ok installed
libgraphite2-dev	1.3.14-2+deb13u1	install ok installed
libgsm1	1.0.22-1+b2	install ok installed
libgssapi-krb5-2	1.21.3-5+deb13u1	install ok installed
libgssrpc4t64	1.21.3-5+deb13u1	install ok installed
libgtest-dev	1.16.0-1	install ok installed
libgtk-3-0t64	3.24.49-3	install ok installed
libgtk-3-common	3.24.49-3	install ok installed
libgudev-1.0-0	238-6	install ok installed
libgudev-1.0-dev	238-6	install ok installed
libhamcrest-java	2.2-2	install ok installed
libharfbuzz0b	10.2.0-1+deb13u1	install ok installed
libharfbuzz-cairo0	10.2.0-1+deb13u1	install ok installed
libharfbuzz-dev	10.2.0-1+deb13u1	install ok installed
libharfbuzz-gobject0	10.2.0-1+deb13u1	install ok installed
libharfbuzz-icu0	10.2.0-1+deb13u1	install ok installed
libharfbuzz-subset0	10.2.0-1+deb13u1	install ok installed
libhawtjni-runtime-java	1.18-1	install ok installed
libhogweed6t64	3.10.1-1	install ok installed
libhowardhinnant-date-dev	3.0.3+ds-2	install ok installed
libhwasan0	14.2.0-19	install ok installed
libhwy1t64	1.2.0-2+b2	install ok installed
libice6	2:1.1.1-1	install ok installed
libice-dev	2:1.1.1-1	install ok installed
libicu76	76.1-4	install ok installed
libicu-dev	76.1-4	install ok installed
libidn2-0	2.3.8-2	install ok installed
libidn2-dev	2.3.8-2	install ok installed
libiniparser4	4.2.6-1	install ok installed
libinput10	1.28.1-1+deb13u1	install ok installed
libinput-bin	1.28.1-1+deb13u1	install ok installed
libinput-dev	1.28.1-1+deb13u1	install ok installed
libisl23	0.27-1	install ok installed
libiso9660++1	2.2.0-4.1~deb13u1	install ok installed
libiso9660-12	2.2.0-4.1~deb13u1	install ok installed
libiso9660-dev	2.2.0-4.1~deb13u1	install ok installed
libiso9660++-dev	2.2.0-4.1~deb13u1	install ok installed
libitm1	14.2.0-19	install ok installed
libjansi1-java	1.18-3.1	install ok installed
libjansi-java	2.4.1-2	install ok installed
libjansi-native-java	1.8-2	install ok installed
libjansson4	2.14-2+b3	install ok installed
libjbig0	2.1-6.1+b2	install ok installed
libjline2-java	2.14.6-6	install ok installed
libjpeg62-turbo	1:2.1.5-4	install ok installed
libjpeg62-turbo-dev	1:2.1.5-4	install ok installed
libjpeg-dev	1:2.1.5-4	install ok installed
libjq1	1.7.1-6+deb13u3	install ok installed
libjs-jquery	3.6.1+dfsg+~3.5.14-1	install ok installed
libjsoncpp26	1.9.6-3	install ok installed
libjsp-api-java	2.3.4-3	install ok installed
libjs-sphinxdoc	8.1.3-5	install ok installed
