adwaita-icon-theme  48.1-1
libgraphite2-3:arm64  1.3.14-2+deb13u1
libgraphite2-dev:arm64  1.3.14-2+deb13u1
libgsm1:arm64  1.0.22-1+b2
libgssrpc4t64:arm64  1.21.3-5+deb13u1
libgtest-dev:arm64  1.16.0-1
libgtk-3-0t64:arm64  3.24.49-3
libgtk-3-common  3.24.49-3
libgudev-1.0-0:arm64  238-6
libgudev-1.0-dev:arm64  238-6
libhamcrest-java  2.2-2
libharfbuzz0b:arm64  10.2.0-1+deb13u1
libharfbuzz-cairo0:arm64  10.2.0-1+deb13u1
libharfbuzz-dev:arm64  10.2.0-1+deb13u1
libharfbuzz-gobject0:arm64  10.2.0-1+deb13u1
libharfbuzz-icu0:arm64  10.2.0-1+deb13u1
libharfbuzz-subset0:arm64  10.2.0-1+deb13u1
libhawtjni-runtime-java  1.18-1
libhowardhinnant-date-dev:arm64  3.0.3+ds-2
libhwy1t64:arm64  1.2.0-2+b2
libice6:arm64  2:1.1.1-1
libice-dev:arm64  2:1.1.1-1
libicu76:arm64  76.1-4
libicu-dev:arm64  76.1-4
libidn2-dev:arm64  2.3.8-2
libinput10:arm64  1.28.1-1+deb13u1
libinput-bin  1.28.1-1+deb13u1
libinput-dev:arm64  1.28.1-1+deb13u1
libiso9660-12:arm64  2.2.0-4.1~deb13u1
libiso9660++1:arm64  2.2.0-4.1~deb13u1
libiso9660-dev  2.2.0-4.1~deb13u1
libiso9660++-dev  2.2.0-4.1~deb13u1
libjansi1-java  1.18-3.1
libjansi-java  2.4.1-2
libjansi-native-java  1.8-2
libjbig0:arm64  2.1-6.1+b2
libjline2-java  2.14.6-6
libjpeg62-turbo-dev:arm64  1:2.1.5-4
libjpeg-dev:arm64  1:2.1.5-4
libjs-jquery  3.6.1+dfsg+~3.5.14-1
libjsp-api-java  2.3.4-3
libjs-sphinxdoc  8.1.3-5
libjs-underscore  1.13.4~dfsg+~1.11.4-3
libjxl0.11:arm64  0.11.2-0.1~deb13u2
libkadm5clnt-mit12:arm64  1.21.3-5+deb13u1
libkadm5srv-mit12:arm64  1.21.3-5+deb13u1
libkdb5-10t64:arm64  1.21.3-5+deb13u1
libkissfft-dev:arm64  131.1.0-4.1~deb13u1
libkissfft-float131:arm64  131.1.0-4.1~deb13u1
libkrb5-dev:arm64  1.21.3-5+deb13u1
liblapack3:arm64  3.12.1-6
liblcms2-2:arm64  2.16-2+deb13u2
liblcms2-dev:arm64  2.16-2+deb13u2
libldap-dev:arm64  2.6.10+dfsg-1
libldb2:arm64  2:2.11.0+samba4.22.10+dfsg-0+deb13u2
liblerc4:arm64  4.0.0+ds-5
liblilv-0-0:arm64  0.24.26-1
liblirc0t64:arm64  0.10.2-0.10
liblirc-client0t64:arm64  0.10.2-0.10
liblirc-dev  0.10.2-0.10
libllvm19:arm64  1:19.1.7-3+b1
liblmdb0:arm64  0.9.31-1+b2
libltdl7:arm64  2.5.4-4
libltdl-dev:arm64  2.5.4-4
liblzo2-dev:arm64  2.10-3+b1
libmagic1t64:arm64  1:5.46-5
libmagic-mgc  1:5.46-5
libmariadb3:arm64  1:11.8.6-0+deb13u1
libmariadb-dev  1:11.8.6-0+deb13u1
libmariadb-dev-compat  1:11.8.6-0+deb13u1
libmbedcrypto16:arm64  3.6.5-0.1~deb13u1
libmicrohttpd12t64:arm64  1.0.1-4
libmicrohttpd-dev:arm64  1.0.1-4
libmount-dev:arm64  2.41.5-0+deb13u1
libmp3lame0:arm64  3.100-6+b3
libmpg123-0t64:arm64  1.32.10-1+deb13u1
libmtdev1t64:arm64  1.1.7-1
libmtdev-dev:arm64  1.1.7-1
libmysofa1:arm64  1.3.3+dfsg-1
libnfs14:arm64  5.0.2-1+b2
libnfs-dev:arm64  5.0.2-1+b2
libnghttp2-dev:arm64  1.64.0-1.1+deb13u1
libnghttp3-dev:arm64  1.8.0-1
libngtcp2-crypto-gnutls-dev:arm64  1.11.0-1+deb13u1
libngtcp2-dev:arm64  1.11.0-1+deb13u1
libnorm1t64:arm64  1.5.9+dfsg-3.1+b2
libnspr4:arm64  2:4.36-1
libnss3:arm64  2:3.110-1+deb13u4
libnuma1:arm64  2.0.19-1
libogg0:arm64  1.3.5-3+b2
libopengl0:arm64  1.7.0-1+b2
libopengl-dev:arm64  1.7.0-1+b2
libopenjp2-7:arm64  2.5.3-2.1~deb13u2
libopenmpt0t64:arm64  0.7.13-1+b1
libopus0:arm64  1.5.2-2
libp11-kit-dev:arm64  0.25.5-3
libp8-platform2:arm64  2.1.0.1+dfsg1-4+b3
libpango-1.0-0:arm64  1.56.3-1
libpangocairo-1.0-0:arm64  1.56.3-1
libpangoft2-1.0-0:arm64  1.56.3-1
libpcre2-16-0:arm64  10.46-1~deb13u1
libpcre2-32-0:arm64  10.46-1~deb13u1
libpcre2-dev:arm64  10.46-1~deb13u1
libpcre2-posix3:arm64  10.46-1~deb13u1
libpgm-5.3-0t64:arm64  5.3.128~dfsg-2.1+b1
