libcodec2-1.2:arm64  1.2.0-3
libcolord2:arm64  1.4.7-3
libcom-err2:arm64  1.47.2-3+b11
libcommons-cli-java  1.6.0-1
libcommons-lang-java  2.6-10+deb13u1
libcommons-logging-java  1.3.0-2
libcommons-parent-java  56-1
libcrossguid0:arm64  0.0+git200150803-6+b2
libcrossguid-dev:arm64  0.0+git200150803-6+b2
libcrypt1:arm64  1:4.4.38-1
libcrypt-dev:arm64  1:4.4.38-1
libctf0:arm64  2.44-3
libctf-nobfd0:arm64  2.44-3
libcups2t64:arm64  2.4.10-3+deb13u2
libcurl3t64-gnutls:arm64  8.14.1-2+deb13u4
libcurl4-openssl-dev:arm64  8.14.1-2+deb13u4
libcurl4t64:arm64  8.14.1-2+deb13u4
libcwiid1t64  0.6.91-11
libcwiid-dev  0.6.91-11
libdate-tz3:arm64  3.0.3+ds-2
libdatrie1:arm64  0.2.13-3+b1
libdav1d7:arm64  1.5.1-1
libdav1d-dev:arm64  1.5.1-1
libdb5.3t64:arm64  5.3.28+dfsg2-9
libdbus-1-3:arm64  1.16.2-2
libdbus-1-dev:arm64  1.16.2-2
libdconf1:arm64  0.40.0-5
libdebconfclient0:arm64  0.280
libdebhelper-perl  13.24.2
libdecor-0-0:arm64  0.2.2-2
libdeflate0:arm64  1.23-2
libdevmapper1.02.1:arm64  2:1.02.205-2
libdialog15:arm64  1.3-20250116-1
libdisplay-info2:arm64  0.2.0-2
libdisplay-info-dev:arm64  0.2.0-2
libdpkg-perl  1.22.22
libdrm2:arm64  2.4.124-2
libdrm-amdgpu1:arm64  2.4.124-2
libdrm-common  2.4.124-2
libdrm-dev:arm64  2.4.124-2
libdrm-etnaviv1:arm64  2.4.124-2
libdrm-freedreno1:arm64  2.4.124-2
libdrm-nouveau2:arm64  2.4.124-2
libdrm-radeon1:arm64  2.4.124-2
libdrm-tegra0:arm64  2.4.124-2
libdrm-tests  2.4.124-2
libdvdnav4:arm64  6.1.1-3+b1
libdvdread8t64:arm64  6.1.3-2
libdw1t64:arm64  0.192-4
libebur128-1:arm64  1.2.6-1+b2
libedit2:arm64  3.1-20250104-1
libegl1:arm64  1.7.0-1+b2
libegl1-mesa-dev:arm64  25.0.7-2+deb13u1
libegl-dev:arm64  1.7.0-1+b2
libegl-mesa0:arm64  25.0.7-2+deb13u1
libelf1t64:arm64  0.192-4
libelf-dev:arm64  0.192-4
libepoxy0:arm64  1.5.10-2
liberror-perl  0.17030-1
libestr0:arm64  0.1.11-2
libevdev2:arm64  1.13.4+dfsg-1
libevdev-dev:arm64  1.13.4+dfsg-1
libevent-2.1-7t64:arm64  2.1.12-stable-10+b1
libexpat1:arm64  2.8.3-1~deb13u1
libexpat1-dev:arm64  2.8.3-1~deb13u1
libext2fs2t64:arm64  1.47.2-3+b11
libfastjson4:arm64  1.2304.0-2
libfdisk1:arm64  2.41.5-0+deb13u1
libfdt1:arm64  1.7.2-2+b1
libffi8:arm64  3.4.8-2
libffi-dev:arm64  3.4.8-2
libfftw3-double3:arm64  3.3.10-2+b1
libfftw3-single3:arm64  3.3.10-2+b1
libfido2-1:arm64  1.15.0-1+b1
libfile-fnmatch-perl  0.02-3+b4
libfile-stripnondeterminism-perl  1.14.1-2
libflac14:arm64  1.5.0+ds-2
libflatbuffers23.5.26:arm64  23.5.26+dfsg-4
libflatbuffers-dev:arm64  23.5.26+dfsg-4
libflite1:arm64  2.2-7
libfmt10:arm64  10.1.1+ds1-4
libfmt-dev:arm64  10.1.1+ds1-4
libfontconfig1:arm64  2.15.0-2.3
libfontconfig-dev:arm64  2.15.0-2.3
libfontforge4:arm64  1:20230101~dfsg-4+b1
libfreetype6:arm64  2.13.3+dfsg-1+deb13u1
libfreetype-dev:arm64  2.13.3+dfsg-1+deb13u1
libfribidi0:arm64  1.0.16-1
libfribidi-dev:arm64  1.0.16-1
libfstrcmp0  0.7.D001-5
libfstrcmp-dev  0.7.D001-5
libfuse3-4:arm64  3.17.2-3
libgbm1:arm64  25.0.7-2+deb13u1
libgbm-dev:arm64  25.0.7-2+deb13u1
libgcc-14-dev:arm64  14.2.0-19
libgcc-s1:arm64  14.2.0-19
libgcrypt20:arm64  1.11.0-7+deb13u1
libgcrypt20-dev:arm64  1.11.0-7+deb13u1
libgdbm6t64:arm64  1.24-2
libgdbm-compat4t64:arm64  1.24-2
libgdk-pixbuf-2.0-0:arm64  2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-common  2.42.12+dfsg-4+deb13u1
libgfortran5:arm64  14.2.0-19
libgif7:arm64  5.2.2-1+deb13u1
libgif-dev:arm64  5.2.2-1+deb13u1
libgio-2.0-dev:arm64  2.84.4-3~deb13u3
libgio-2.0-dev-bin  2.84.4-3~deb13u3
libgirepository-2.0-0:arm64  2.84.4-3~deb13u3
libgl1:arm64  1.7.0-1+b2
libgl1-mesa-dri:arm64  25.0.7-2+deb13u1
libgl-dev:arm64  1.7.0-1+b2
libgles1:arm64  1.7.0-1+b2
libgles2:arm64  1.7.0-1+b2
libgles-dev:arm64  1.7.0-1+b2
libglew2.2:arm64  2.2.0-4+b2
libglew-dev:arm64  2.2.0-4+b2
libglib2.0-0t64:arm64  2.84.4-3~deb13u3
libglib2.0-bin  2.84.4-3~deb13u3
libglib2.0-data  2.84.4-3~deb13u3
libglib2.0-dev:arm64  2.84.4-3~deb13u3
libglib2.0-dev-bin  2.84.4-3~deb13u3
libglu1-mesa:arm64  9.0.2-1.1+b3
libglu1-mesa-dev:arm64  9.0.2-1.1+b3
libglvnd0:arm64  1.7.0-1+b2
libglvnd-core-dev:arm64  1.7.0-1+b2
libglvnd-dev:arm64  1.7.0-1+b2
libglx0:arm64  1.7.0-1+b2
libglx-dev:arm64  1.7.0-1+b2
libglx-mesa0:arm64  25.0.7-2+deb13u1
libgme0:arm64  0.6.3-7+b2
libgmp10:arm64  2:6.3.0+dfsg-3
libgmp-dev:arm64  2:6.3.0+dfsg-3
libgmpxx4ldbl:arm64  2:6.3.0+dfsg-3
libgnutls28-dev:arm64  3.8.9-3+deb13u4
libgnutls30t64:arm64  3.8.9-3+deb13u4
libgnutls-dane0t64:arm64  3.8.9-3+deb13u4
libgnutls-openssl27t64:arm64  3.8.9-3+deb13u4
libgomp1:arm64  14.2.0-19
libgpg-error0:arm64  1.51-4
libgpg-error-dev:arm64  1.51-4
libgpiod3:arm64  2.2.1-2+deb13u1
libgpm2:arm64  1.20.7-11+b2
libgprofng0:arm64  2.44-3
libgraphite2-3:arm64  1.3.14-2+deb13u1
libgraphite2-dev:arm64  1.3.14-2+deb13u1
libgsm1:arm64  1.0.22-1+b2
libgssapi-krb5-2:arm64  1.21.3-5+deb13u1
libgssrpc4t64:arm64  1.21.3-5+deb13u1
libgtest-dev:arm64  1.16.0-1
libgtk-3-0t64:arm64  3.24.49-3
libgtk-3-common  3.24.49-3
libgudev-1.0-0:arm64  238-6
libgudev-1.0-dev:arm64  238-6
libhamcrest-java  2.2-2
libharfbuzz0b:arm64  10.2.0-1+deb13u1
libharfbuzz-cairo0:arm64  10.2.0-1+deb13u1
libharfbuzz-dev:arm64  10.2.0-1+deb13u1
libharfbuzz-gobject0:arm64  10.2.0-1+deb13u1
libharfbuzz-icu0:arm64  10.2.0-1+deb13u1
libharfbuzz-subset0:arm64  10.2.0-1+deb13u1
